trending_date,views,likes,dislikes,title,key,comments_disabled,processed_features
15,[-0.2982814],[-0.30385761],[-0.12564528],4195,ogYum4kWXgk,0,24
15,[-0.30659297],[-0.31473655],[-0.12660982],1725,kIUHDwn51y8,0,2
15,[-0.31500382],[-0.32191491],[-0.12640313],6173,Lz7dya576HY,0,26
15,[-0.31420791],[-0.32392467],[-0.12519745],2228,zNqCVTs38nU,0,17
15,[-0.27081692],[-0.28423182],[-0.10266853],4073,ZAQs-ctOqXQ,0,23
15,[-0.29789081],[-0.29569622],[-0.12550748],268,fcVjitaM3LY,0,28
15,[-0.31316977],[-0.32041195],[-0.12554193],2141,kqmhCaF5_44,0,10
15,[-0.28052489],[-0.28250605],[-0.11930686],1916,B5HORANmzHw,0,27
15,[-0.2766569],[-0.30607272],[-0.12195935],5326,6VhU_T463sU,0,28
15,[-0.28884688],[-0.31457927],[-0.10115282],5972,JBZTZZAcFTw,0,26
15,[-0.26525391],[-0.29721228],[-0.11661993],4435,eAyxMv4IBH8,0,23
15,[-0.2880273],[-0.26828041],[-0.11589652],310,qeWvgZLz9yU,0,26
15,[-0.31849664],[-0.32433099],[-0.1277466],2981,EJu_wPGFTw0,0,17
15,[-0.31680555],[-0.31869928],[-0.12667871],1390,MKLlDnUqho4,0,10
15,[-0.28599458],[-0.29892932],[-0.116241],4443,wwZ-T_WQ03A,0,1
15,[-0.31488967],[-0.32437468],[-0.12750546],3148,9XSULcLI6Hg,0,25
15,[-0.30393772],[-0.30452607],[-0.12295834],6044,hz7ukDjuq4w,0,24
15,[-0.27713783],[-0.31388022],[-0.122855],3939,p2hJxyF7mok,0,19
15,[-0.30653888],[-0.32352709],[-0.12175266],450,CBVGjS_EJok,1,24
15,[-0.24197876],[-0.32278872],[-0.12623089],44,i-LCORFB860,0,19
15,[-0.28241466],[-0.28263712],[-0.11889349],4587,dRpNZV18N_g,0,24
15,[-0.31355711],[-0.30571883],[-0.12478408],1033,vWYyZMH_QjA,0,1
15,[-0.31742321],[-0.32314261],[-0.12750546],5894,MNiweoKXwfg,0,24
15,[-0.31837884],[-0.32439653],[-0.12588641],2151,VJlSq6h0LNg,0,17
15,[-0.3019008],[-0.30625622],[-0.12275165],2173,ijJPFowBsBc,0,22
15,[-0.30540147],[-0.31041556],[-0.09047398],2848,HBS9783c0BI,0,24
15,[2.45855757],[3.34833442],[1.51583128],1675,n1WpP7iowLc,0,10
15,[-0.2870388],[-0.32127702],[-0.12468074],5741,PABlVzeldaM,0,25
15,[-0.31373388],[-0.32318193],[-0.12674761],994,JwboxqDylgg,0,17
15,[-0.21039433],[-0.12999551],[-0.06735944],1059,dQvIbulWCM4,0,23
15,[-0.31182544],[-0.32388098],[-0.12736767],5679,pjuPpVLXDQg,0,2
15,[-0.302943],[-0.31182239],[-0.12061588],3678,0mlNzVSJrT0,0,22
15,[-0.31137521],[-0.3208576],[-0.11913462],3954,n30k5CwLhS4,0,1
15,[-0.27056469],[-0.25512519],[0.42445313],3671,0tO_l_Ed5Rs,0,10
15,[-0.07908923],[-0.16227844],[-0.05964311],6382,BWPrk9PUwQE,0,26
15,[-0.31837871],[-0.32442711],[-0.12664427],5836,1WDj0DddCcM,0,25
15,[-0.29222583],[-0.30460472],[-0.12605865],436,bqgVB6Vl-lI,0,24
15,[-0.2723633],[-0.30412849],[-0.06453471],5841,STI2fI7sKMo,0,22
15,[1.43725245],[0.62063404],[0.48363461],2926,9t9u_yPEidY,0,10
15,[-0.05126135],[0.12731551],[-0.07896838],6209,0PpNlNJ6Nng,0,24
15,[-0.18198423],[-0.31515598],[-0.04231582],4934,sbcbvuitiTc,0,17
15,[-0.31878877],[-0.32426983],[-0.1277466],45,ZhSk8mPSWCg,0,24
